f_acidente;d_fasedia
333124;Plena Noite
333126;Pleno dia
333129;Pleno dia
333130;Pleno dia
333131;Pleno dia
333132;Pleno dia
333133;Pleno dia
333134;Pleno dia
333136;Pleno dia
333138;Anoitecer
333139;Pleno dia
333140;Pleno dia
333144;Pleno dia
333145;Pleno dia
333146;Anoitecer
333147;Pleno dia
333148;Pleno dia
333150;Anoitecer
333151;Anoitecer
333152;Pleno dia
333153;Pleno dia
333154;Plena Noite
333155;Anoitecer
333156;Pleno dia
333157;Pleno dia
333158;Pleno dia
333159;Pleno dia
333160;Pleno dia
333161;Pleno dia
333162;Pleno dia
333163;Anoitecer
333165;Pleno dia
333166;Pleno dia
333167;Plena Noite
333168;Pleno dia
333169;Anoitecer
333170;Pleno dia
333171;Pleno dia
333172;Anoitecer
333173;Pleno dia
333174;Anoitecer
333175;Plena Noite
333176;Plena Noite
333177;Anoitecer
333178;Anoitecer
333179;Pleno dia
333180;Pleno dia
333181;Pleno dia
333182;Pleno dia
333183;Anoitecer
333184;Pleno dia
333185;Plena Noite
333186;Plena Noite
333189;Plena Noite
333190;Pleno dia
333191;Plena Noite
333193;Plena Noite
333194;Plena Noite
333197;Pleno dia
333198;Plena Noite
333199;Plena Noite
333200;Plena Noite
333201;Plena Noite
333203;Plena Noite
333204;Plena Noite
333205;Plena Noite
333206;Plena Noite
333207;Plena Noite
333208;Plena Noite
333209;Pleno dia
333210;Plena Noite
333211;Pleno dia
333213;Pleno dia
333214;Anoitecer
333215;Plena Noite
333217;Pleno dia
333218;Plena Noite
333220;Plena Noite
333221;Plena Noite
333222;Plena Noite
333223;Plena Noite
333224;Plena Noite
333225;Plena Noite
333226;Plena Noite
333227;Plena Noite
333228;Anoitecer
333229;Plena Noite
333230;Plena Noite
333231;Plena Noite
333232;Plena Noite
333233;Plena Noite
333235;Plena Noite
333236;Plena Noite
333237;Plena Noite
333238;Plena Noite
333239;Plena Noite
333240;Plena Noite
333241;Plena Noite
333242;Plena Noite
333243;Plena Noite
333244;Pleno dia
333245;Plena Noite
333246;Plena Noite
333247;Amanhecer
333249;Amanhecer
333250;Amanhecer
333251;Amanhecer
333252;Amanhecer
333253;Plena Noite
333254;Amanhecer
333255;Amanhecer
333256;Amanhecer
333257;Amanhecer
333258;Plena Noite
